contexto;zona;preguntaActual;opcional;maxPicks;alcanzable;posicion;glosa;textoTarjeta;significado;funcionEnsamblador;camposZona;pasaFiltroSinListaBlanca;despachoUI;veredicto;destino;motivo;preguntasBanco;avatar
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;1;DÓNDE;¿DÓNDE?;¿Dónde?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B), nunca respuesta en C;I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;2;QUIÉN;¿QUIÉN?;¿Quién?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;3;QUÉ;¿QUÉ?;¿Qué?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;4;CUÁNDO;¿CUÁNDO?;¿Cuándo?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;5;CUÁL;¿CUÁL?;¿Cuál?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;6;CÓMO;¿CÓMO?;¿Cómo?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;interrogativa;¿Qué quieres preguntar?;False;1;True;7;CUÁNTOS;¿CUÁNTOS?;¿Cuántos?;interrogative;free_text;True;selección directa;valida;;formulación propia (A/B);I.PREG.ELEGIR;placeholder
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;1;FISCALIA;FISCALÍA;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;2;FELCC;FELCC;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;3;FELCV;FELCV;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;4;JUZGADO;JUZGADO;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;5;ÓRGANO_JUDICIAL;ÓRGANO JUDICIAL;Órgano Judicial;institution;place;True;selección directa;valida;;;I.PREG.DONDE_QUEDA;placeholder
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;6;SEPDAVI;SEPDAVI;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;7;SEPDEP;SEPDEP;;institution;place;True;selección directa + teclado de deletreo/número (_admiteDetalle);valida;;;I.PREG.DONDE_QUEDA;spelled
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;8;POLICÍA;POLICÍA;Policía;institution;place;True;selección directa;valida;;;I.PREG.DONDE_QUEDA;placeholder
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;9;OFICINA;OFICINA;Oficina;place;place;True;selección directa;valida;;;I.PREG.DONDE_QUEDA;placeholder
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;10;HOSPITAL;HOSPITAL;Hospital;institution;place;True;selección directa;condicional;;solo si se declaró una herida;I.PREG.DONDE_QUEDA;placeholder
preguntas;lugar_pregunta;¿Dónde queda…?;True;1;True;11;AQUÍ;AQUÍ;Aquí;place;place;True;selección directa;invalida;;«¿Dónde queda aquí?» no es una pregunta;I.PREG.DONDE_QUEDA;placeholder
