pregunta;dominio;formulacion;control;campos;modo;recorridos;nodos;opcion;etiqueta;glosas;acepcionNucleo;estado;salida;editor;frase;fraseSinValor;sinSena;rutas
I.PREG.CUANDO;intervencion_propia;¿Qué quiere saber cuándo?;seleccion_unica;interrogativa|consulta;frase;preguntas#4;;volver;Cuándo vuelvo;CUÁNDO|VOLVER;interrogativa;afirmado;False;;¿Cuándo debo volver?;;False;recorrido
I.PREG.CUANDO;intervencion_propia;¿Qué quiere saber cuándo?;seleccion_unica;interrogativa|consulta;frase;preguntas#4;;avisar;Cuándo me avisan;CUÁNDO|AVISAR;interrogativa;afirmado;False;;¿Cuándo me van a avisar?;;False;recorrido
I.PREG.CUANDO;intervencion_propia;¿Qué quiere saber cuándo?;seleccion_unica;interrogativa|consulta;frase;preguntas#4;;esperar;Cuánto tiempo espero;ESPERAR|CUÁNTOS;consulta;afirmado;False;;¿Cuánto tiempo debo esperar?;;False;recorrido
I.PREG.CUANTO;intervencion_propia;¿Qué quiere saber cuánto?;seleccion_unica;consulta;frase;preguntas#5;;dias;Cuántos días espero;ESPERAR|DÍA|CUÁNTOS;consulta;afirmado;False;;¿Cuántos días debo esperar?;;False;recorrido
I.PREG.CUANTO;intervencion_propia;¿Qué quiere saber cuánto?;seleccion_unica;consulta;frase;preguntas#5;;horas;Cuántas horas espero;ESPERAR|HORA|CUÁNTOS;consulta;afirmado;False;;¿Cuántas horas debo esperar?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;fiscalia;La Fiscalía;FISCALIA|DÓNDE;institucion;afirmado;False;;¿Dónde está la Fiscalía?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;felcc;La FELCC;FELCC|DÓNDE;institucion;afirmado;False;;¿Dónde está la FELCC?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;felcv;La FELCV;FELCV|DÓNDE;institucion;afirmado;False;;¿Dónde está la FELCV?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;juzgado;El juzgado;JUZGADO|DÓNDE;institucion;afirmado;False;;¿Dónde está el juzgado?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;organo;El Órgano Judicial;ÓRGANO_JUDICIAL|DÓNDE;institucion;afirmado;False;;¿Dónde está el Órgano Judicial?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;sepdavi;SEPDAVI;SEPDAVI|DÓNDE;institucion;afirmado;False;;¿Dónde está SEPDAVI?;;False;recorrido
I.PREG.DONDE_QUEDA;intervencion_propia;¿Dónde queda…?;seleccion_unica;institucion;frase;seguimiento#3|preguntas#2;;sepdep;SEPDEP;SEPDEP|DÓNDE;institucion;afirmado;False;;¿Dónde está SEPDEP?;;False;recorrido
