nodo;seccion;subseccion;fila;frase;conceptosCorpus;intencion;ambito;hablante;acto;modos;ranuras;polaridad;glosasDeLaFila;salidas;interrogativas;fueraDeRanura;pendientes;mecanismos;diagnostico;preguntaBanco;zonaMostradaHoy;preguntaMostradaHoy;usoEnLaApp
n-s6-acceso_comunicativ-01;6;Acceso comunicativo e identificación;1;¿Usted es una persona sorda?;TÚ · SORDO;CONFIRMAR_ACCESO;identificacion;hearing;question;C;polarity|person;SÍ|NO;TÚ|SORDO;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ACC.SORDO;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-02;6;Acceso comunicativo e identificación;2;¿Necesita un intérprete de LSB?;INTÉRPRETE · NECESITAR;NECESIDAD_INTERPRETE;identificacion;hearing;question;C;polarity;SÍ|NO;INTÉRPRETE|NECESITAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ACC.INTERPRETE;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-03;6;Acceso comunicativo e identificación;3;¿Prefiere que le escriba en papel?;ESCRIBIR · PAPEL · MEJOR;CANAL_ESCRITO;identificacion;hearing;question;C;polarity;SÍ|NO;ESCRIBIR|PAPEL|MEJOR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ACC.ESCRITO;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-04;6;Acceso comunicativo e identificación;4;¿Puede leer este texto?;TÚ · LEER · PUEDO · TEXTO;LECTURA;identificacion;hearing;question;C;polarity;SÍ|NO;TÚ|LEER|PUEDO;NO_SABER;;;TEXTO;;glosas_del_enunciado_como_respuesta;Q.ACC.LECTURA;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-05;6;Acceso comunicativo e identificación;5;¿Comprende lo que le estoy explicando?;TÚ · COMPRENDER · EXPLICAR;COMPRENSION;identificacion;hearing;question;C;polarity;SÍ|NO;TÚ|COMPRENDER|EXPLICAR;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ACC.COMPRENSION;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-06;6;Acceso comunicativo e identificación;6;¿Quiere que lo explique otra vez y más despacio?;VOLVER · EXPLICAR · LENTO · QUERER;REPARACION;identificacion;hearing;question;C;polarity;SÍ|NO;VOLVER|EXPLICAR|LENTO|QUERER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ACC.REPARACION;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-07;6;Acceso comunicativo e identificación;7;¿Cuál es su nombre completo?;TUYO · NOMBRE · ¿CUÁL?;IDENTIFICACION_NOMBRE;identificacion;hearing;question;C;free_text;;TUYO|NOMBRE|CUÁL;NO_SABER;CUÁL;;;;glosas_del_enunciado_como_respuesta|interrogativa_como_respuesta;Q.ID.NOMBRE;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-08;6;Acceso comunicativo e identificación;8;¿Puede deletrear su apellido?;DELETREAR · NOMBRE · PUEDO;IDENTIFICACION_DELETREO;identificacion;hearing;question;C;polarity;SÍ|NO;NOMBRE|PUEDO;NO_SABER;;;DELETREAR;;glosas_del_enunciado_como_respuesta;Q.ID.APELLIDO;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-09;6;Acceso comunicativo e identificación;9;¿Tiene su carnet de identidad?;PAPEL · IDENTIDAD · TENER;IDENTIFICACION_DOCUMENTO;identificacion;hearing;question;C;polarity;SÍ|NO;PAPEL|IDENTIDAD|TENER;NO_SABER;;;;;glosas_del_enunciado_como_respuesta;Q.ID.DOC_TIENE;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
n-s6-acceso_comunicativ-10;6;Acceso comunicativo e identificación;10;¿Este número de celular es suyo?;CELULAR · NÚM(...) · TUYO · VERDAD;VALIDAR_CONTACTO;identificacion;hearing;question;C;polarity|object;SÍ|NO;CELULAR|TUYO|VERDAD;NO_SABER;;TUYO;;NÚM(...);glosas_del_enunciado_como_respuesta|opcion_fuera_de_ranura;Q.ID.TELEFONO_VALIDA;identidad;¿Cuál es su nombre e identidad?;modo C: reconoce el enunciado del funcionario y reordena la lista blanca
