id;glosa;claseLexica;significadoDocumentado;idCorpus;referenciaCorpus;estadoValidacion;rolEnsamblador;funcionSemantica;necesidades;fuenteNecesidad;soloTransversal;camposRespuesta;actosComunicativos;nodosQueLaUsan;representacion;avatar;restriccion;motivoSinUso
g001;YO;sena_lexica;Yo;M1-T14-01;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;uso en el grafo;False;amount|evidence|free_text|institution|object|person|place|polarity|time;question|statement;18;sena_documentada;placeholder;;
g002;ÉL;sena_lexica;Él;M1-T14-04;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|person|polarity;question|statement;7;sena_documentada;placeholder;;
g003;TÚ;sena_lexica;Tú;M1-T14-02;M1 · Pronombres · p.113;trazada en corpus §12;sujeto;participante;consultas|denuncias|tramites;uso en el grafo;False;free_text|person|polarity;question;9;sena_documentada;placeholder;;
g004;SÍ;sena_lexica;Sí;M1-T01-16;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|institution|object|person|place|polarity|time;question;138;sena_documentada;baked;;
g005;ESCRIBIR;sena_lexica;Escribir;M1-T12-15;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|object|polarity|time;question|statement;19;sena_documentada;placeholder;;
g006;PAPEL;sena_lexica;Papel;M1-T13-17;M1 · Sustantivos · p.107;trazada en corpus §12;documento;evidencia;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|person|polarity|time;question|statement;11;sena_documentada;placeholder;No es un documento genérico. No sustituye FOLIO REAL, ESCRITURA ni CÉDULA (corpus §4: preferir el objeto concreto).;
g007;CELULAR;sena_lexica;Celular;M2-T07-11;M2 · Sustantivo II · p.61;trazada en corpus §12;objeto;objeto;consultas|denuncias|tramites;uso en el grafo;False;evidence|object|polarity;question|statement;23;sena_documentada;placeholder;Polisémica por papel, no por seña: objeto sustraído o medio de contacto. Lo decide el campo que se responde, no la necesidad activa.;
g008;NECESITAR;sena_lexica;Necesitar;M2-T02-06;M2 · Verbos II · p.41;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|institution|object|person|polarity;question|statement;28;sena_documentada;placeholder;;
g009;QUERER;sena_lexica;Querer;M1-T12-11;M1 · Verbos · p.101;trazada en corpus §12;verboAccion;accion;consultas|denuncias|tramites;uso en el grafo;False;free_text|institution|polarity|time;question|statement;12;sena_documentada;placeholder;;
g010;PUEDO;sena_lexica;Puedo;M1-T01-11;M1 · Saludos · p.55;trazada en corpus §12;marcador;marcador;consultas|denuncias|tramites;uso en el grafo;False;evidence|free_text|institution|object|person|place|polarity|time;question|statement;35;sena_documentada;placeholder;;
