questionId;espanol;formulationGlosses;secuenciaCorpus;todasEnCorpusV4;estadoGramatica;evidencia;problema;propuesta;noManuales;requiereValidacionHumana;validadoPor
I.PREG.CUANDO;¿Qué quiere saber cuándo?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
I.PREG.CUANTO;¿Qué quiere saber cuánto?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
I.PREG.DONDE_QUEDA;¿Dónde queda…?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
I.PREG.ELEGIR;¿Qué quieres preguntar?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
I.PREG.HABLAR_CON;¿Con quién quiere hablar?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
I.PREG.SOBRE_TEMA;¿Sobre qué quiere preguntar?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.ACC.COMPRENSION;¿Comprende lo que le estoy explicando?;TÚ|COMPRENDER|EXPLICAR;TÚ · COMPRENDER · EXPLICAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Comprende lo que le estoy explicando?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden TÚ · COMPRENDER · EXPLICAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar cómo se marca la pregunta disyuntiva («… o …»): la secuencia no marca ni la disyunción ni la pregunta|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada;
Q.ACC.ESCRITO;¿Prefiere que le escriba en papel?;ESCRIBIR|PAPEL|MEJOR;ESCRIBIR · PAPEL · MEJOR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Prefiere que le escriba en papel?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ESCRIBIR · PAPEL · MEJOR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ACC.INTERPRETE;¿Necesita un intérprete de LSB?;INTÉRPRETE|NECESITAR;INTÉRPRETE · NECESITAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Necesita un intérprete de LSB?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden INTÉRPRETE · NECESITAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ACC.LECTURA;¿Puede leer este texto?;TÚ|LEER|PUEDO;TÚ · LEER · PUEDO · TEXTO;sí;LEXICAL_GAP;corpus §6 «¿Puede leer este texto?» (nota: Directo);TEXTO: no está en el corpus v4;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden TÚ · LEER · PUEDO · TEXTO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar cómo se marca la pregunta disyuntiva («… o …»): la secuencia no marca ni la disyunción ni la pregunta|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada|confirmar cómo expresar TEXTO sin una seña fuera del corpus v4 (no se añade al corpus);
Q.ACC.REPARACION;¿Quiere que lo explique otra vez y más despacio?;VOLVER|EXPLICAR|LENTO|QUERER;VOLVER · EXPLICAR · LENTO · QUERER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Quiere que lo explique otra vez y más despacio?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden VOLVER · EXPLICAR · LENTO · QUERER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.ACC.SORDO;¿Usted es una persona sorda?;TÚ|SORDO;TÚ · SORDO;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Usted es una persona sorda?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden TÚ · SORDO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar si TÚ explícito es necesario o se expresa por dirección/mirada;
Q.APO.TIPO;¿Qué apoyo necesita?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DAN.QUE;¿Qué dañaron?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DEN.AUTORIDAD;¿Ante qué institución quiere presentarla?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DEN.INTENCION;¿Desea presentar una denuncia?;PRESENTAR;PRESENTAR · [DENUNCIA];sí;LEXICAL_GAP;"corpus §6 «¿Desea presentar una denuncia?» (nota: DENUNCIA es concepto pendiente; no crear seña directa)";[DENUNCIA]: concepto sin seña directa según el corpus (§4);ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden PRESENTAR · [DENUNCIA] como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar cómo expresar [DENUNCIA] sin una seña fuera del corpus v4 (no se añade al corpus);
Q.DIG.CANAL;¿Por dónde le llegaron los mensajes?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIG.CANT_NUMEROS;¿Son uno o varios números?;CELULAR|CUÁNTOS;CELULAR · NÚM(...) · ¿CUÁNTOS?;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Son uno o varios números?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;desconocidos: ¿requiere marcador no manual de pregunta QU-?;confirmar el orden CELULAR · NÚM(...) · ¿CUÁNTOS? como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar la posición final de ¿CUÁNTOS? en esta construcción;
Q.DIG.CAPTURAS;¿Tiene fotos de la pantalla?;FOTOS|CELULAR|TENER;FOTOS · CELULAR · TENER;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Tiene fotos de la pantalla?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden FOTOS · CELULAR · TENER como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIG.CONTENIDO;¿Qué decían los mensajes?;;;sí;GRAMMAR_PENDING;ninguna;"sin secuencia LSB en ninguna fuente del repositorio; la formulación solo existe en español";ninguna: no hay evidencia para cambiar la secuencia;desconocidos;proponer la secuencia completa con una persona señante: no hay fuente en el repositorio;
Q.DIG.CONTINUA;¿Sigue recibiendo mensajes?;AÚN|RECIBIR|ESCRIBIR;AÚN · RECIBIR · ESCRIBIR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Sigue recibiendo mensajes?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden AÚN · RECIBIR · ESCRIBIR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la posición de la expresión temporal AÚN;
Q.DIG.GUARDO;¿Guardó los mensajes?;ESCRIBIR|GUARDAR;ESCRIBIR · GUARDAR;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Guardó los mensajes?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden ESCRIBIR · GUARDAR como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación;
Q.DIG.MOSTRAR;¿Puede mostrar el celular ahora?;CELULAR|AHORA|MOSTRAR|PUEDO;CELULAR · AHORA · MOSTRAR · PUEDO;sí;GRAMMAR_PROVISIONAL;corpus §6 «¿Puede mostrar el celular ahora?» (nota: Directo);;ninguna: no hay evidencia para cambiar la secuencia;requeridos y no modelados: la secuencia no marca la pregunta;confirmar el orden CELULAR · AHORA · MOSTRAR · PUEDO como formulación natural de la pregunta (el corpus §6 no fija la sintaxis)|confirmar si la pregunta sí/no requiere marcador no manual: la secuencia no distingue pregunta de afirmación|confirmar la posición de la expresión temporal AHORA;
