nodo;seccion;fila;frase;intencion;ambito;hablante;acto;modos;preguntaBanco;glosasDelEnunciado;respuestas;glosasDeRespuesta;controles;literales;pendientes
n-s6-acceso_comunicativ-01;6;1;¿Usted es una persona sorda?;CONFIRMAR_ACCESO;identificacion;hearing;question;C;Q.ACC.SORDO;TÚ|SORDO;si|no;SÍ|NO;omitir;;
n-s6-acceso_comunicativ-02;6;2;¿Necesita un intérprete de LSB?;NECESIDAD_INTERPRETE;identificacion;hearing;question;C;Q.ACC.INTERPRETE;INTÉRPRETE|NECESITAR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-acceso_comunicativ-03;6;3;¿Prefiere que le escriba en papel?;CANAL_ESCRITO;identificacion;hearing;question;C;Q.ACC.ESCRITO;ESCRIBIR|PAPEL|MEJOR;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-acceso_comunicativ-04;6;4;¿Puede leer este texto?;LECTURA;identificacion;hearing;question;C;Q.ACC.LECTURA;TÚ|LEER|PUEDO;si|poco|no;SÍ|LEER|NO;omitir;;TEXTO
n-s6-acceso_comunicativ-05;6;5;¿Comprende lo que le estoy explicando?;COMPRENSION;identificacion;hearing;question;C;Q.ACC.COMPRENSION;TÚ|COMPRENDER|EXPLICAR;si|no|despacio;SÍ|NO|LENTO;omitir;;
n-s6-acceso_comunicativ-06;6;6;¿Quiere que lo explique otra vez y más despacio?;REPARACION;identificacion;hearing;question;C;Q.ACC.REPARACION;VOLVER|EXPLICAR|LENTO|QUERER;si|no;SÍ|NO;omitir;;
n-s6-acceso_comunicativ-07;6;7;¿Cuál es su nombre completo?;IDENTIFICACION_NOMBRE;identificacion;hearing;question;C;Q.ID.NOMBRE;TUYO|NOMBRE|CUÁL;nombre;;omitir;;
n-s6-acceso_comunicativ-08;6;8;¿Puede deletrear su apellido?;IDENTIFICACION_DELETREO;identificacion;hearing;question;C;Q.ID.APELLIDO;NOMBRE|PUEDO;apellido;;omitir;;DELETREAR
n-s6-acceso_comunicativ-09;6;9;¿Tiene su carnet de identidad?;IDENTIFICACION_DOCUMENTO;identificacion;hearing;question;C;Q.ID.DOC_TIENE;PAPEL|IDENTIDAD|TENER;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;;
n-s6-acceso_comunicativ-10;6;10;¿Este número de celular es suyo?;VALIDAR_CONTACTO;identificacion;hearing;question;C;Q.ID.TELEFONO_VALIDA;CELULAR|TUYO|VERDAD;si|no|no_sabe;SÍ|NO|NO_SABER;omitir;NÚM(...);
